ID,Name,Typ,Verein,Jugendverein,Land,MW
bsc1,Oliver Christensen,1,bsc,obk,NA,B
bsc2,Peter Pekarik,1,bsc,dubn,NA,B
bsc3,Augustin Rogel,1,bsc,naci,NA,B
bsc5,Filip Uremovic,1,bsc,cib,NA,C
bsc6,Tolga Cigerci,1,bsc,wobj,NA,B
bsc7,Florian Niederlechner,1,bsc,eber,NA,D
bsc8,Suat Serdar,1,bsc,fsvj,NA,G
bsc10,Jean Paul Boetius,1,bsc,feye,NA,C
bsc14,Dodi Lukebakio,1,bsc,and,NA,G
bsc16,Jonjoe Kenny,1,bsc,eve,NA,E
bsc17,Maximilian Mittelstaedt,1,bsc,bscj,NA,E
bsc18,Wilfried Kanga,1,bsc,psg,NA,B
bsc19,Stefan Jovetic,1,bsc,part,NA,H
bsc20,Marc Oliver Kempf,1,bsc,sgej,NA,D
bsc21,Marvin Plattenhardt,1,bsc,fcn,NA,F
bsc23,Marco Richter,1,bsc,fcaj,NA,D
bsc24,Jessic Ngankam,1,bsc,bscj,NA,A
bsc27,Kevin Prince Boateng,1,bsc,bscj,NA,G
bsc29,Lucas Tousart,1,bsc,vafc,NA,G
bsc31,Marton Dardai,1,bsc,bscj,NA,C
bsc34,Ivan Sunjic,1,bsc,zag,NA,C
bsc39,Derry Scherhant,1,bsc,bscj,NA,A
bsc40,Chidera Ejuke,1,bsc,suco,NA,D
bsc42,Julian Eitschberger,1,bsc,bscj,NA,A
bsc,Hertha BSC Berlin,2,NA,NA,GER,NA
bl,Bundesliga,3,NA,NA,NA,NA
obk,Odense BK,2,NA,NA,DEN,NA
dubn,FK Dubnica,2,NA,NA,SVK,NA
naci,Nacional,2,NA,NA,URU,NA
cib,Cibalia,2,NA,NA,CRO,NA
wobj,VFL Wolfsburg Jugend,2,NA,NA,GER,NA
eber,TSV Ebersberg,2,NA,NA,GER,NA
fsvj,1. FSV Mainz Jugend,2,NA,NA,GER,NA
feye,Feyenoord Rotterdam,2,NA,NA,NED,NA
and,RSC Anderlecht,2,NA,NA,BEL,NA
eve,FC Everton,2,NA,NA,ENG,NA
bscj,Hertha BSC Berlin Jugend,2,NA,NA,GER,NA
psg,Paris St. Germain,2,NA,NA,FRA,NA
part,Partizan Belgrad,2,NA,NA,SRB,NA
sgej,Eintracht Frankfurt Jugend,2,NA,NA,GER,NA
fcn,1 FC Nuernberg,2,NA,NA,GER,NA
fcaj,FC Augsburg Jugend,2,NA,NA,GER,NA
vafc,Valenciennes FC,2,NA,NA,FRA,NA
zag,Dinamo Zagreb,2,NA,NA,CRO,NA
suco,Supreme Court FC,2,NA,NA,NIG,NA
